School Code,School Name,Address,Pincode,Block Code,District Code
12027,HIGH SCHOOL ARARIA,,,1112,12
12028,"HIGH SCHOOL SIMRAHA, ARARIA",,,1112,12
12029,"LEE ACADEMY FOR BES GANJ, ARARIA",,,1112,12
12030,"HIGH SCHOOL NARPATGANJ, ARARIA",,,1112,12
12031,"HIGH SCHOOL JOGBANI, ARARIA",,,1112,12
12032,"B D G G HIGH SCHOOL FOR BES GANJ, ARARIA",,,1112,12
12033,"S D D N G GOVT H/S FOR BES GANJ, ARARIA",,,1112,12
12034,"RAM NANDAN HIGH SCHOOL RAMAI, ARARIA",,,1112,12
12035,"D D S HIGH SCHOOL FOR BES GANJ, ARARIA",,,1112,12
12036,"K D H/S FULKAHA NAWABGANJ, ARARIA",,,1112,12
12037,"J HIGH SCHOOL PITHAURA, ARARIA",,,1112,12
12038,"JAWAHAR HIGH SCHOOL BHARGAMA, ARARIA",,,1112,12
12039,"RAMLAL HIGH SCHOOL HARIPUR DAK, ARARIA",,,1112,12
12040,"S D R HIGH SCHOOL MAHATHAWA, ARARIA",,,1112,12
12041,"D B H S BEER NAGAR BISHARIA, ARARIA",,,1112,12
12042,"GOVT AMBEDKAR HIGH SCHOOL RAMPUR, ARARIA",,,1112,12
12043,"PROJECT GIRLS H/S NAR PATGANJ, ARARIA",,,1112,12
12044,"HIGH SCHOOL SIMARBANI, ARARIA",,,1112,12
12045,"PROJECT KANYA H S JOKIHAT, ARARIA",,,1112,12
12046,"+2 PROJECT GIRLS HIGH SCHOOL, BHARGAMA,ARARIA",,,1112,12
12301,UTKRAMIT M S PAIKTOLA ARARIA,,,1112,12
12302,UTKRAMIT M S BANSBARI ARARIA,,,1112,12
12303,"UTKRAMIT M S MADHUBANI KHERKHA FORBESGANJ, ARARIA",,,1112,12
12304,"UTKRAMIT M S TERHI MUSAHARI FORBESGANJ, ARARIA",,,1112,12
12305,"UTKRAMIT M S BHOONA JOKIHAT MAJAGAMA, ARARIA",,,1112,12
12306,"UTKRAMIT M S RUPAIL MADHAL PALASI, ARARIA",,,1112,12
12307,"UTKRAMIT M S RAHARIA MANULHA PATTI BHARGAMA, ARARIA",,,1112,12
12308,"UTKRAMIT M S NONIYA TOLA CHAKALA NARPATGANJ, ARARIA",,,1112,12
12309,"BALIKA UTKRAMIT M S GUNWANTI SHRANIGANJ, ARARIA",,,1112,12
12310,"UTKRAMIT M S PARMANANDPUR SHRANIGANJ, ARARIA",,,1112,12
12311,"UTKRAMIT M S KAPAR FORA KURSAKANTA, ARARIA",,,1112,12
12312,"UTKRAMIT M S SOHAGMARO SIKATI, ARARIA",,,1112,12
12313,"ADARSH UTKRAMIT M S MIRJAPUR FORBISGANJ, ARARIA",,,1112,12
12314,"UTKRAMIT M S ACHRA NARPATGANJ, ARARIA",,,1112,12
12315,UTKRAMIT M S ARARIA BASTI ARARIA,,,1112,12
12316,"UTKRAMIT M S HINGNA AURAHI FORBISGANJ, ARARIA",,,1112,12
12317,"UTKRAMIT M S JAHANPUR KESHRRA JOKIHAT, ARARIA",,,1112,12
12318,"UTKRAMIT MS KHABDAH DUMRIYA REWAHI NARPATGANJ, ARARIA",,,1112,12
12319,"UTKRAMIT M S KOSKAPUR KOSKAPUR NORTH RANIGANJ, ARARIA",,,1112,12
12320,"UTKRAMIT M S MANGALWAR CHARIYA BHARGAMA, ARARIA",,,1112,12
12321,"UPGRADE HIGH SCHOOL MALDWAR PURAB, ARARIA",,,1112,12
12322,"UTKRAMIT M S BASMATIYA,, ARARIA",,,1112,12
12323,"UTKRAMIT M S TAMGANJ,, ARARIA",,,1112,12
12324,"UTKRAMIT M S KHAIRA,, ARARIA",,,1112,12
12325,"UTKRAMIT M S MAHESHPATTI,, ARARIA",,,1112,12
12326,"UTKRAMIT M S BARMASIYA,, ARARIA",,,1112,12
12327,"A UTKRAMIT M S KALA BALUA,, ARARIA",,,1112,12
12328,"UTKRAMIT M S SONAMANI GODAM,, ARARIA",,,1112,12
12329,"UTKRAMIT M S SUBHANKARPUR,, ARARIA",,,1112,12
12330,"UTKRAMIT M S GOKHALAPUR BMS, NARPATGANJ, ARARIA",,,1112,12
12331,"UTKRAMIT M S BELA REFUJI, NARPATGANJ, ARARIA",,,1112,12
12332,"UTKRAMIT MADHYAMIK SCHOOL CHANDA, NARPATGANJ, ARARIA",,,1112,12
12333,"UTKRAMIT M S HARIDYEPUR, RANIGANJ, ARARIA",,,1112,12
12334,"UTKRAMIT M S NARAYANPUR, RANIGANJ, ARARIA",,,1112,12
12335,"UTKRAMIT M S DUMARIYA BALAK, RANIGANJ, ARARIA",,,1112,12
12336,"UTKRAMIT M S AMAUNA, FARBESGANJ, ARARIA",,,1112,12
12337,"UTKRAMIT M S PURNDAHA, FARBESGANJ, ARARIA",,,1112,12
12338,"UTKRAMIT M S GORAGACCH, SIKATI, ARARIA",,,1112,12
12339,"UTKRAMIT M S DIMIHIYA, SIKATI, ARARIA",,,1112,12
12340,"UTKRAMIT M S PECHAULI, PALASI, ARARIA",,,1112,12
12341,"UTKRAMIT MADHYAMIK SCHOOL BHAWANI NAGAR, RANIGANJ, ARARIA",,,1112,12
12342,"UTKRAMIT MADHYAMIK SCHOOL BARA ISTAMBARAR, JOKIHAT, ARARIA",,,1112,12
12343,"UTKRAMIT M S LALPUR MAHUA, RANIGANJ, ARARIA",,,1112,12
12344,"UTKRAMIT M S BARHARA, RANIGANJ, ARARIA",,,1112,12
12345,"GIRLS UTKRAMIT M S POTIHIA, RANIGANJ, ARARIA",,,1112,12
12346,"UTKRAMIT M S PARWAHA HARIJAN, FARBESGANJ, ARARIA",,,1112,12
12347,"UTKRAMIT M S SIRSIA KALA, BHARGAMA, ARARIA",,,1112,12
12348,"UTKRAMIT M S MAUJAHA, RANIGANJ, ARARIA",,,1112,12
12349,"UTKRAMIT M S BASGARA RAMPUR, FARBESGANJ, ARARIA",,,1112,12
12350,"UTKRAMIT M S MADHULATA, RANIGANJ, ARARIA",,,1112,12
