District Name,School Code,School Name
PURNEA,11362,"UTKRAMIT M S GANGA BHAWAN KHOKHA, SRINAGAR, PURNEA"
PURNEA,11363,"UTKRAMIT MADHYAMIK SCHOOL SUDHUBELI,KASBA, PURNEA"
PURNEA,11364,"UTKRAMIT MADHYAMIK SCH JIYANGANJ GURAHI,KASBA, PURNEA"
PURNEA,11365,"UTKRAMIT M S KAMALPUR BHAMRA LAAGAN, KASBA, PURNEA"
PURNEA,11366,"UTKRAMIT M S SORSONI BIJULIYA, JALALGARDH, PURNEA"
PURNEA,11368,"UTKRAMIT MADHYAMIK SCHOOL MAHALWARI, DAGRUA, PURNEA"
PURNEA,11369,"UTKRAMIT MADHYAMIK SCHOOL BELWA, PURNEA EAST, PURNEA"
PURNEA,11370,"UTKRAMIT MADHYAMIK SCHOOL SONDEEP, BHAWNIPUR, PURNEA"
PURNEA,11371,"UTKRAMIT MADHYAMIK SCH GAHIL STHAN, B KOTHI, PURNEA"
PURNEA,11372,"NAUWAT LAL UTKRAMIT M S KUKRAOUN -2, DHAMDAHA, PURNEA"
PURNEA,11373,"UTKRAMIT M S CHIKANI PATRAHA, B KOTHI, PURNEA"
PURNEA,11374,"UTKRAMIT MADHYAMIK SCHOOL GANGAILI, BANMANKHI, PURNEA"
PURNEA,11375,"UTKRAMIT M S JIYANGANJ MIDDLE, BANMANKHI, PURNEA"
PURNEA,11376,"UTKRAMIT MADHYAMIK SCHOOL KAJHI, BANMANKHI, PURNEA"
PURNEA,11377,"UTKRAMIT M S GULABTOLE MALLDIHA, B KOTHI, PURNEA"
PURNEA,11378,"UTKRAMIT MADHYAMIK SCHOOL RANGPURA, DHAMDAHA, PURNEA"
PURNEA,11379,"UTKRAMIT MADHYAMIK SCHOOL BHATSARA, B KOTHI, PURNEA"
PURNEA,11380,"UTKRAMIT MADHYAMIK SCH HARIPURMADI, BANMANKHI, PURNEA"
PURNEA,11381,"UTKRAMIT MADHYAMIK SCHOOL SUKHSENA, B KOTHI, PURNEA"
PURNEA,11382,"ABHYAS UTKRAMIT MADHYAMIK SCH NIRPUR,DHAMDAHA, PURNEA"
PURNEA,11383,"UTKRAMIT MADHYAMIK SCHOOL NIPNIA, B KOTHI, PURNEA"
PURNEA,11384,"UTKRAMIT MADHYAMIK SCHOOL SAHSAUL, B KOTHI, PURNEA"
PURNEA,11385,"UTKRAMIT MADHYAMIK SCHOOL DEVOTTAR, BANMANKHI, PURNEA"
PURNEA,11386,"UTKRAMIT M S HASAILI KHUTTI, SRI NAGAR, PURNEA"
PURNEA,11387,"UTKRAMIT MADHYAMIK SCHOOL BORARHI, BANMANKHI, PURNEA"
PURNEA,11389,"UTKRAMIT MADHYAMIK SCH LALGANJ, PURNEA EAST, PURNEA"
PURNEA,11390,UTKRAMIT M SCH SINDHIA DIWANGANJ PURNEA
PURNEA,11391,"UTKRAMIT MADHYAMIK SCHOOL AMCHURA, PURNEA"
PURNEA,11392,"UTKRAMIT HIGH SCHOOL, MAHWALA, RUPAULI, PURNEA"
PURNEA,11393,"UTKRAMIT HIGH SCHOOL, BHAWA KANP, RUPAULI, PURNEA"
PURNEA,11394,"UTKRAMIT HIGH SCHOOL, CHHARRAPATTI, RUPAULI, PURNEA"
PURNEA,11395,"UTKRAMIT HIGH SCHOOL, TINTANGA, RUPAULI, PURNEA"
PURNEA,11396,"UTKRAMIT HIGH SCHOOL, BALUTOL, B.KOTHI, PURNEA"
PURNEA,11397,"UTKRAMIT HIGH SCHOOL, HANUMAN NAGAR -K, B.KOTHI, PURNEA"
PURNEA,11398,UTKRAMIT HIGH SCHOOL MIRCHAIBARI PURNEA
PURNEA,11399,"UTKRAMIT HIGH SCHOOL, RADHANAGAR, BANMANKHI, PURNEA"
