S. No.,School Code,School Name,Address,Pincode,Block ID,District ID,District Name,Block Name
82,11317,"UTKRAMIT MADHYAMIK SCHOOL CHAMPAWATI, PURNEA",,,1128,11,PURNEA,BANMANKHI
83,11318,"UTKRAMIT MADHYAMIK SCHOOL CHANDPUR BHANGHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
84,11319,"UTKRAMIT MADHYAMIK SCHOOL HARIMURHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
85,11320,"UTKRAMIT MADHYAMIK SCHOOL LAXMIPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
86,11321,"UTKRAMIT MADHYAMIK SCHOOL PRANPATTI, PURNEA",,,1128,11,PURNEA,BANMANKHI
87,11322,"UTKRAMIT MADHYAMIK SCHOOL KAJHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
88,11323,"UTKRAMIT MADHYAMIK SCHOOL SAURAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
89,11324,"UTKRAMIT MADHYAMIK SCHOOL GARHI BALUWA, PURNEA",,,1128,11,PURNEA,BANMANKHI
90,11325,"UTKRAMIT MADHYAMIK SCHOOL BISHANPUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
91,11326,"UTKRAMIT MADHYAMIK SCHOOL ROUTI BASHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
92,11327,"UTKRAMIT MADHYAMIK SCHOOL TALBARI, PURNEA",,,1128,11,PURNEA,BANMANKHI
93,11328,"UTKRAMIT MADHYAMIK SCHOOL SIRSI, PURNEA",,,1128,11,PURNEA,BANMANKHI
94,11329,"UTKRAMIT MADHYAMIK SCHOOL AMIRGANJ, PURNEA",,,1128,11,PURNEA,BANMANKHI
95,11330,"UTKRAMIT MADHYAMIK SCHOOL KODHELI, PURNEA",,,1128,11,PURNEA,BANMANKHI
96,11331,"UTKRAMIT MADHYAMIK SCHOOL BABHNI, PURNEA",,,1128,11,PURNEA,BANMANKHI
97,11332,"UTKRAMIT MADHYAMIK SCHOOL BELGCHHI, PURNEA",,,1128,11,PURNEA,BANMANKHI
98,11333,"UTKRAMIT MADHYAMIK SCHOOL GORIAR, PURNEA",,,1128,11,PURNEA,BANMANKHI
99,11334,"UTKRAMIT MADHYAMIK SCHOOL DUMRI, PURNEA",,,1128,11,PURNEA,BANMANKHI
100,11335,"UTKRAMIT MADHYAMIK SCH SANJHA GHAAT,DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
101,11336,"UTKRAMIT MADHYAMIK SCHOOL MEERGANJ, DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
102,11337,"UTKRAMIT MADHYAMIK SCH G.RAM DAMGARA,DHAMDAHA, PURNEA",,,1128,11,PURNEA,BANMANKHI
103,11338,"UTKRAMIT MADHYAMIK SCHOOL LAKHANARE, AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
104,11339,"UTKRAMIT MADHYAMIK SCHOOL BELKA, AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
105,11340,"UTKRAMIT MADHYAMIK SCH B TOLA ISLAMPUR,AMOUR, PURNEA",,,1128,11,PURNEA,BANMANKHI
