School Code,School Name,District Name,Block Name
11340,"UTKRAMIT MADHYAMIK SCH B TOLA ISLAMPUR,AMOUR, PURNEA",PURNEA,BANMANKHI
11341,"UTKRAMIT MADHYAMIK SCHOOL MAJGAMA, KASBA, PURNEA",PURNEA,BANMANKHI
11342,"UTKRAMIT MADHYAMIK SCHOOL LACHHANPUR, KASBA, PURNEA",PURNEA,BANMANKHI
11343,"UTKRAMIT MADHYAMIK SCHOOL MOHANI, KASBA, PURNEA",PURNEA,BANMANKHI
11344,"UTKRAMIT MADHYAMIK SCHOOL SONAPUR, BAISI, PURNEA",PURNEA,BANMANKHI
11345,"UTKRAMIT MADHYAMIK SCHOOL HARERAMPUR, BAISI, PURNEA",PURNEA,BANMANKHI
11346,"UTKRAMIT MADHYAMIK SCHOOL CHARAIYA, BAISI, PURNEA",PURNEA,BANMANKHI
11347,"UTKRAMIT MADHYAMIK SCHOOL SHISHAWARI, BAISI, PURNEA",PURNEA,BANMANKHI
11348,"UTKRAMIT MADHYAMIK SCHOOL CHANDWAR, BAISI, PURNEA",PURNEA,BANMANKHI
11349,"UTKRAMIT MADHYAMIK SCHOOL NANDANIYA, BAISI, PURNEA",PURNEA,BANMANKHI
11350,"UTKRAMIT MADHYAMIK SCHOOL DAGARUWA, DAGARUA, PURNEA",PURNEA,BANMANKHI
11351,"UTKRAMIT MADHYAMIK SCH C PARA BALUWA,DAGARUA, PURNEA",PURNEA,BANMANKHI
11352,"UTKRAMIT MADHYAMIK SCHOOL SIYARAKHAM, DAGARUA, PURNEA",PURNEA,BANMANKHI
11353,"UTKRAMIT MADHYAMIK SCH MATIYARPUR,JALALGARDH, PURNEA",PURNEA,BANMANKHI
11354,"UTKRAMIT MADHYAMIK SCH KATHAILI, JALALGARDH, PURNEA",PURNEA,BANMANKHI
11355,"UTKRAMIT MADHYAMIK SCHOOL EKAMBA, JALALGARDH, PURNEA",PURNEA,BANMANKHI
11356,"UTKRAMIT M S PRAKHAND COLONY,K.NAGAR, PURNEA",PURNEA,BANMANKHI
11357,"UTKRAMIT M S PRASADPUR BELDARI, K NAGAR, PURNEA",PURNEA,BANMANKHI
11358,"UTKRAMIT M S KAJHA GANESHPUR,K NAGAR, PURNEA",PURNEA,BANMANKHI
11359,"UTKRAMIT MADHYAMIK SCHOOL PIPARA, PURNEA EAST, PURNEA",PURNEA,BANMANKHI
11360,"UTKRAMIT MADHYAMIK SCH MAHARAJPUR,PURNEA EAST, PURNEA",PURNEA,BANMANKHI
11361,"UTKRAMIT MADHYAMIK SCHOOL JAGAILI, SRINAGAR, PURNEA",PURNEA,BANMANKHI
11362,"UTKRAMIT M S GANGA BHAWAN KHOKHA, SRINAGAR, PURNEA",PURNEA,BANMANKHI
11363,"UTKRAMIT MADHYAMIK SCHOOL SUDHUBELI,KASBA, PURNEA",PURNEA,BANMANKHI
11364,"UTKRAMIT MADHYAMIK SCH JIYANGANJ GURAHI,KASBA, PURNEA",PURNEA,BANMANKHI
11365,"UTKRAMIT M S KAMALPUR BHAMRA LAAGAN, KASBA, PURNEA",PURNEA,BANMANKHI
11366,"UTKRAMIT M S SORSONI BIJULIYA, JALALGARDH, PURNEA",PURNEA,BANMANKHI
11367,"UTKRAMIT MADHYAMIK SCHOOL MADHWA, BAISI, PURNEA",PURNEA,BANMANKHI
11368,"UTKRAMIT MADHYAMIK SCHOOL MAHALWARI, DAGRUA, PURNEA",PURNEA,BANMANKHI
11369,"UTKRAMIT MADHYAMIK SCHOOL BELWA, PURNEA EAST, PURNEA",PURNEA,BANMANKHI
